year,master_chronology,SLC04A
1780,1.4885024,NA
1781,0.41062662,NA
1782,-0.291773,NA
1783,1.38177596,NA
1784,2.12745041,NA
1785,2.01290169,NA
1786,0.9113422,NA
1787,0.62391176,NA
1788,0.41129349,NA
1789,0.78787343,NA
1790,-1.0655554,NA
1791,1.15800789,NA
1792,1.09982389,NA
1793,1.94278553,NA
1794,0.10950475,NA
1795,1.55318123,NA
1796,0.95282945,NA
1797,0.78039118,NA
1798,0.52573437,NA
1799,1.453157,NA
1800,1.56390075,NA
1801,0.88383368,NA
1802,1.68882975,NA
1803,0.60254853,NA
1804,2.04463417,NA
1805,0.90436038,NA
1806,-0.3294019,NA
1807,0.49244664,NA
1808,-0.0064888,NA
1809,1.33270282,NA
1810,1.77969428,NA
1811,1.5396454,NA
1812,0.9735593,NA
1813,0.79244063,NA
1814,0.2738758,NA
1815,2.15850908,NA
1816,2.28206189,NA
1817,1.38293722,NA
1818,1.0880557,NA
1819,0.20795981,NA
1820,-0.2748426,NA
1821,1.02086512,NA
1822,0.32979055,NA
1823,0.54313582,NA
1824,1.48662413,NA
1825,1.0567311,NA
1826,0.59467851,NA
1827,1.09949739,NA
1828,1.06684364,NA
1829,0.325766,NA
1830,0.95347361,NA
1831,1.35044297,NA
1832,1.19365486,NA
1833,1.93025973,NA
1834,0.80209846,NA
1835,1.37932635,NA
1836,0.22155837,NA
1837,1.77152905,1.063873865
1838,1.08235686,0.831845026
1839,2.08999633,2.06411731
1840,1.07440516,1.391059707
1841,-0.430468,0.10799732
1842,-0.1102514,0.06685409
1843,0.06852848,0.81629014
1844,1.01821553,1.790212979
1845,1.31392067,1.93948095
1846,1.61855335,1.372499374
1847,-0.6791819,-0.561283304
1848,0.5894996,-0.523838093
1849,0.95217467,0.986319948
1850,1.58996733,1.786782114
1851,0.769886,0.953936498
1852,1.80648463,2.122289554
1853,1.13992948,2.098181751
1854,0.83608876,1.335594422
1855,0.58126879,0.927442573
1856,0.97348405,1.312558643
1857,1.09087747,0.270540792
1858,1.6955597,0.597309987
1859,1.13819515,0.613145576
1860,0.94143217,1.355086279
1861,1.16286766,1.464962164
1862,0.44930745,0.534083315
1863,-0.2501591,-0.252365704
1864,-0.3469789,0.346669486
1865,0.83491187,1.21350993
1866,0.9143749,1.143426891
1867,1.2423786,1.822128337
1868,2.40829634,1.905116393
1869,1.59231896,1.590814742
1870,1.17019402,1.375538175
1871,1.21517486,1.024545798
1872,0.12333934,-0.035827086
1873,-0.0411771,0.415916633
1874,1.63542743,1.644334301
1875,1.74094955,1.236336114
1876,1.46773255,0.898560681
1877,1.48237415,1.167324354
1878,0.34432659,0.312248349
1879,0.49002865,0.416844353
1880,0.85630012,0.790449496
1881,-0.0945962,0.147577416
1882,1.11953592,2.858855616
1883,0.94844387,1.730429745
1884,1.24329913,0.736482801
1885,1.70078112,1.542277662
1886,1.03822483,0.436753926
1887,0.8638879,1.022199987
1888,1.6215622,2.083553577
1889,1.78934977,1.982714019
1890,1.15613201,0.66590481
1891,1.60879796,1.702010813
1892,0.91649776,-0.034438059
1893,-0.4634145,-0.601775827
1894,0.43436926,-0.032585149
1895,-0.4838871,-1.012091213
1896,0.92917536,0.764653798
1897,0.99605703,1.735712966
1898,2.51858718,1.118984602
1899,2.23376248,3.608095025
1900,0.47258049,0.878124268
1901,1.37007857,1.192287162
1902,0.20384265,-0.515814717
1903,1.14818802,0.618461775
1904,-0.5688825,-0.712193954
1905,1.29550367,1.557237071
1906,1.22150597,2.240044491
1907,1.45383052,2.461794165
1908,1.61026832,2.33689648
1909,1.01452682,0.794562419
1910,0.22037612,-0.154701927
1911,0.37682398,0.710454851
1912,1.02100174,1.057677912
1913,0.77573025,0.413339666
1914,1.26316179,0.644278564
1915,1.96438629,2.82163951
1916,0.84945491,1.454063073
1917,1.26117402,1.623211413
1918,0.37297669,-0.679621499
1919,1.03886397,0.799391822
1920,1.20308054,1.205900668
1921,0.97078937,0.613546761
1922,1.21782896,0.781329581
1923,0.42308588,1.085293215
1924,1.12904006,1.760595594
1925,-0.3847848,-0.103074736
1926,1.1575067,1.20841475
1927,0.73938782,0.22443734
1928,1.07839563,0.323617619
1929,1.13466925,-0.010086251
1930,1.32630016,1.184578251
1931,1.50327352,1.459145792
1932,1.66712168,3.696301838
1933,1.21125836,1.30845182
1934,0.22262342,0.574270817
1935,1.73745724,1.863938607
1936,1.38994787,1.421424669
1937,1.1004135,0.981192302
1938,0.75748338,0.595567993
1939,-0.2804868,-0.282336344
1940,1.17584809,1.099839186
1941,1.83135523,0.931284543
1942,1.51209948,1.018574784
1943,-0.5510608,-0.310157921
1944,1.70765237,1.355866452
1945,2.44029852,1.619794668
1946,1.18354678,0.844480851
1947,0.81741256,1.628465843
1948,-0.1685553,-0.708583167
1949,1.39155525,1.921812544
1950,1.12772636,1.834936393
1951,-0.5349777,-0.785381065
1952,2.41441154,2.655952968
1953,1.06854289,1.003337485
1954,-1.1914395,-0.847047725
1955,1.2049436,0.645781522
1956,-0.0068992,0.239551772
1957,1.45333838,0.593007324
1958,1.66017899,2.923102856
1959,1.81588023,2.445164718
1960,1.02244323,1.813020928
1961,-0.3154332,-0.350807135
1962,0.67273861,0.853890359
1963,0.64563781,1.222863153
1964,1.78845444,0.732581695
1965,1.95557082,1.488823019
1966,1.4409442,0.60800567
1967,0.63686744,1.29453059
1968,2.50469109,4.553999948
1969,0.91246684,0.094431227
1970,1.39053399,1.182383982
1971,-0.7662964,-1.570863048
1972,0.46708889,0.331297791
1973,1.80253136,1.77818901
1974,-0.5905961,-1.570926879
1975,1.42167458,1.229116124
1976,0.79552698,0.132936987
1977,0.16591422,0.113395022
1978,1.05371483,1.16508381
1979,2.22844217,4.161993373
1980,0.39113909,1.260523433
1981,1.07893289,1.699889423
1982,-0.579234,-0.984856325
1983,1.05850647,1.031092959
1984,1.84393586,1.300353809
1985,1.86869703,1.801827412
1986,1.38623287,1.050545142
1987,1.85825877,2.177038108
1988,0.94934907,1.217113528
1989,0.36996569,-0.090753809
1990,-0.1894764,0.052428363
1991,1.44604178,0.891875922
1992,1.56904308,1.240107058
1993,1.38907045,1.541580881
1994,-0.2785756,-0.397028553
1995,1.41971508,2.212659419
